method,collision_system,map_name,num_agents,seed,window_1_goals,window_2_goals,window_3_goals,window_4_goals,window_5_goals,window_6_goals,window_7_goals,window_8_goals,completed_targets,avg_throughput
EPOM-L,block_both,mazes-s40_wc4_od30,200,0,628,624,615,634,754,731,750,674,5410,1.32080078125
EPOM-L,block_both,mazes-s40_wc4_od30,200,42,710,729,696,672,703,697,700,719,5626,1.37353515625
EPOM-L,block_both,mazes-s40_wc4_od30,200,123,575,644,655,668,694,754,740,766,5496,1.341796875
EPOM-L,block_both,mazes-s40_wc4_od30,600,0,439,405,432,440,316,213,179,98,2522,0.61572265625
EPOM-L,block_both,mazes-s40_wc4_od30,600,42,368,345,389,308,398,519,513,471,3311,0.808349609375
EPOM-L,block_both,mazes-s40_wc4_od30,600,123,423,409,328,377,458,460,388,302,3145,0.767822265625
EPOM-L,block_both,mazes-s45_wc4_od55,200,0,525,527,489,573,485,530,537,528,4194,1.02392578125
EPOM-L,block_both,mazes-s45_wc4_od55,200,42,487,592,513,519,484,448,516,480,4039,0.986083984375
EPOM-L,block_both,mazes-s45_wc4_od55,200,123,494,556,567,510,546,538,582,571,4364,1.0654296875
EPOM-L,block_both,mazes-s45_wc4_od55,600,0,341,283,265,201,205,159,181,168,1803,0.440185546875
EPOM-L,block_both,mazes-s45_wc4_od55,600,42,364,289,246,153,121,189,154,193,1709,0.417236328125
EPOM-L,block_both,mazes-s45_wc4_od55,600,123,411,303,297,189,213,213,265,159,2050,0.50048828125
EPOM-L,block_both,random-s40_d0.15,200,0,1570,1547,1607,1592,1570,1641,1618,1576,12721,3.105712890625
EPOM-L,block_both,random-s40_d0.15,200,42,1545,1611,1609,1641,1629,1602,1614,1600,12851,3.137451171875
EPOM-L,block_both,random-s40_d0.15,200,123,1509,1612,1681,1590,1620,1638,1599,1605,12854,3.13818359375
EPOM-L,block_both,random-s40_d0.15,600,0,1657,1470,1470,1394,1234,1307,1355,1358,11245,2.745361328125
EPOM-L,block_both,random-s40_d0.15,600,42,1711,1377,1420,1378,1435,1363,1452,1515,11651,2.844482421875
EPOM-L,block_both,random-s40_d0.15,600,123,1798,1541,1608,1533,1508,1570,1505,1653,12716,3.1044921875
EPOM-L,block_both,random-s44_d0.35,200,0,1192,942,874,965,860,818,843,835,7329,1.789306640625
EPOM-L,block_both,random-s44_d0.35,200,42,1219,1157,975,888,901,819,892,782,7633,1.863525390625
EPOM-L,block_both,random-s44_d0.35,200,123,1124,1029,897,814,893,760,862,829,7208,1.759765625
EPOM-L,block_both,random-s44_d0.35,600,0,576,505,241,391,332,358,340,383,3126,0.76318359375
EPOM-L,block_both,random-s44_d0.35,600,42,485,356,247,251,213,90,95,69,1806,0.44091796875
EPOM-L,block_both,random-s44_d0.35,600,123,640,265,360,338,280,348,255,348,2834,0.69189453125
EPOM-L,block_both,sc1-TheFrozenSea,200,0,723,681,612,544,564,598,562,502,4786,1.16845703125
EPOM-L,block_both,sc1-TheFrozenSea,200,42,675,643,648,675,724,708,579,658,5310,1.29638671875
EPOM-L,block_both,sc1-TheFrozenSea,200,123,771,766,659,669,659,612,593,714,5443,1.328857421875
EPOM-L,block_both,sc1-TheFrozenSea,600,0,475,416,357,407,442,512,352,442,3403,0.830810546875
EPOM-L,block_both,sc1-TheFrozenSea,600,42,572,477,540,485,371,453,446,418,3762,0.91845703125
EPOM-L,block_both,sc1-TheFrozenSea,600,123,484,388,514,456,421,323,283,348,3217,0.785400390625
EPOM-L,block_both,sc1-Turbo,200,0,1507,1356,1139,1042,932,1050,1027,1279,9332,2.2783203125
EPOM-L,block_both,sc1-Turbo,200,42,1194,972,1062,890,1015,1364,1471,1380,9348,2.2822265625
EPOM-L,block_both,sc1-Turbo,200,123,1327,1355,1315,1378,1298,1442,1412,1263,10790,2.63427734375
EPOM-L,block_both,sc1-Turbo,600,0,1290,1169,1224,1138,1092,875,720,950,8458,2.06494140625
EPOM-L,block_both,sc1-Turbo,600,42,1046,668,903,1035,1040,663,662,396,6413,1.565673828125
EPOM-L,block_both,sc1-Turbo,600,123,1157,917,1024,947,946,814,693,552,7050,1.72119140625
EPOM-L,block_both,street-Shanghai_0,200,0,1018,847,743,769,754,692,789,735,6347,1.549560546875
EPOM-L,block_both,street-Shanghai_0,200,42,935,773,811,812,779,805,834,761,6510,1.58935546875
EPOM-L,block_both,street-Shanghai_0,200,123,950,873,978,764,751,730,806,708,6560,1.6015625
EPOM-L,block_both,street-Shanghai_0,600,0,1002,702,664,598,635,679,696,666,5642,1.37744140625
EPOM-L,block_both,street-Shanghai_0,600,42,1079,537,547,439,349,433,435,561,4380,1.0693359375
EPOM-L,block_both,street-Shanghai_0,600,123,955,671,513,493,558,685,702,717,5294,1.29248046875
EPOM-L,block_both,street-Sydney_0,200,0,934,751,662,666,614,602,549,676,5454,1.33154296875
EPOM-L,block_both,street-Sydney_0,200,42,983,761,655,691,881,811,673,733,6188,1.5107421875
EPOM-L,block_both,street-Sydney_0,200,123,1015,683,720,778,766,810,793,814,6379,1.557373046875
EPOM-L,block_both,street-Sydney_0,600,0,856,915,741,587,589,643,556,394,5281,1.289306640625
EPOM-L,block_both,street-Sydney_0,600,42,808,934,631,829,637,500,404,247,4990,1.21826171875
EPOM-L,block_both,street-Sydney_0,600,123,892,710,639,663,431,293,256,315,4199,1.025146484375
EPOM-L,soft,mazes-s40_wc4_od30,200,0,885,872,871,848,916,953,908,864,7117,1.737548828125
EPOM-L,soft,mazes-s40_wc4_od30,200,42,875,885,903,918,921,869,873,898,7142,1.74365234375
EPOM-L,soft,mazes-s40_wc4_od30,200,123,881,913,891,983,949,934,942,963,7456,1.8203125
EPOM-L,soft,mazes-s40_wc4_od30,600,0,784,821,805,816,563,260,88,35,4172,1.0185546875
EPOM-L,soft,mazes-s40_wc4_od30,600,42,793,844,849,868,863,777,673,421,6088,1.486328125
EPOM-L,soft,mazes-s40_wc4_od30,600,123,827,783,715,712,751,725,744,597,5854,1.42919921875
EPOM-L,soft,mazes-s45_wc4_od55,200,0,713,680,740,744,705,707,722,712,5723,1.397216796875
