method,collision_system,num_agents,episodes,first_window,last_window,last_minus_first,relative_change_percent,decreased_episodes,unchanged_episodes,increased_episodes
EPOM-L,block_both,200,24,1.92138671875,1.7242838541666667,-0.19710286458333326,-10.258365099534094,15,0,9
EPOM-L,block_both,600,24,1.6136881510416667,1.035400390625,-0.5782877604166667,-35.836401230520956,23,0,1
EPOM-L,soft,200,24,2.537841796875,2.1560872395833335,-0.3817545572916665,-15.042488375821705,19,0,5
EPOM-L,soft,600,24,3.2466634114583335,2.340087890625,-0.9065755208333335,-27.923298658979824,23,0,1
CAAR,block_both,200,24,2.0069986979166665,1.7279459635416667,-0.2790527343749998,-13.90398183440109,14,0,10
CAAR,block_both,600,24,1.7891438802083333,1.224853515625,-0.5642903645833333,-31.539686149647483,22,0,2
CAAR,soft,200,24,2.6013997395833335,2.1931966145833335,-0.408203125,-15.691672401927049,21,0,3
CAAR,soft,600,24,3.3295084635416665,2.3370768229166665,-0.992431640625,-29.80715176105394,24,0,0
SRSLM,block_both,200,24,2.26806640625,2.022216796875,-0.245849609375,-10.83961248654467,20,0,4
SRSLM,block_both,600,24,2.22412109375,1.435791015625,-0.788330078125,-35.44456641053787,24,0,0
SRSLM,soft,200,24,2.6985677083333335,2.3771158854166665,-0.32145182291666696,-11.911942098914363,20,0,4
SRSLM,soft,600,24,3.80712890625,2.6436360677083335,-1.1634928385416665,-30.56089949125732,24,0,0
