method,collision_system,num_agents,window,start_step,end_step,episodes,mean_window_throughput
EPOM-L,block_both,200,1,1,512,24,1.92138671875
EPOM-L,block_both,200,2,513,1024,24,1.7928873697916667
EPOM-L,block_both,200,3,1025,1536,24,1.7237955729166667
EPOM-L,block_both,200,4,1537,2048,24,1.6881510416666667
EPOM-L,block_both,200,5,2049,2560,24,1.6988932291666667
EPOM-L,block_both,200,6,2561,3072,24,1.7252604166666667
EPOM-L,block_both,200,7,3073,3584,24,1.7367350260416667
EPOM-L,block_both,200,8,3585,4096,24,1.7242838541666667
EPOM-L,block_both,600,1,1,512,24,1.6136881510416667
EPOM-L,block_both,600,2,513,1024,24,1.3063151041666667
EPOM-L,block_both,600,3,1025,1536,24,1.26953125
EPOM-L,block_both,600,4,1537,2048,24,1.22314453125
EPOM-L,block_both,600,5,2049,2560,24,1.1575520833333333
EPOM-L,block_both,600,6,2561,3072,24,1.11181640625
EPOM-L,block_both,600,7,3073,3584,24,1.0487467447916667
EPOM-L,block_both,600,8,3585,4096,24,1.035400390625
EPOM-L,soft,200,1,1,512,24,2.537841796875
EPOM-L,soft,200,2,513,1024,24,2.2987467447916665
EPOM-L,soft,200,3,1025,1536,24,2.3147786458333335
EPOM-L,soft,200,4,1537,2048,24,2.2486165364583335
EPOM-L,soft,200,5,2049,2560,24,2.2366536458333335
EPOM-L,soft,200,6,2561,3072,24,2.2080078125
EPOM-L,soft,200,7,3073,3584,24,2.1871744791666665
EPOM-L,soft,200,8,3585,4096,24,2.1560872395833335
EPOM-L,soft,600,1,1,512,24,3.2466634114583335
EPOM-L,soft,600,2,513,1024,24,2.7110188802083335
EPOM-L,soft,600,3,1025,1536,24,2.568359375
EPOM-L,soft,600,4,1537,2048,24,2.7006022135416665
EPOM-L,soft,600,5,2049,2560,24,2.6258951822916665
EPOM-L,soft,600,6,2561,3072,24,2.4706217447916665
EPOM-L,soft,600,7,3073,3584,24,2.3789876302083335
EPOM-L,soft,600,8,3585,4096,24,2.340087890625
CAAR,block_both,200,1,1,512,24,2.0069986979166665
CAAR,block_both,200,2,513,1024,24,1.8368326822916667
CAAR,block_both,200,3,1025,1536,24,1.7997233072916667
CAAR,block_both,200,4,1537,2048,24,1.7708333333333333
CAAR,block_both,200,5,2049,2560,24,1.7713216145833333
CAAR,block_both,200,6,2561,3072,24,1.7242838541666667
CAAR,block_both,200,7,3073,3584,24,1.7303059895833333
CAAR,block_both,200,8,3585,4096,24,1.7279459635416667
CAAR,block_both,600,1,1,512,24,1.7891438802083333
CAAR,block_both,600,2,513,1024,24,1.4706217447916667
CAAR,block_both,600,3,1025,1536,24,1.4098307291666667
CAAR,block_both,600,4,1537,2048,24,1.330810546875
CAAR,block_both,600,5,2049,2560,24,1.2896321614583333
CAAR,block_both,600,6,2561,3072,24,1.2508951822916667
CAAR,block_both,600,7,3073,3584,24,1.2564290364583333
CAAR,block_both,600,8,3585,4096,24,1.224853515625
CAAR,soft,200,1,1,512,24,2.6013997395833335
CAAR,soft,200,2,513,1024,24,2.3486328125
CAAR,soft,200,3,1025,1536,24,2.3236490885416665
CAAR,soft,200,4,1537,2048,24,2.2479654947916665
