method,collision_system,window,start_step,end_step,episodes,mean_window_throughput
EPOM-L,block_both,1,1,512,48,1.7675374348958333
EPOM-L,block_both,2,513,1024,48,1.5496012369791667
EPOM-L,block_both,3,1025,1536,48,1.4966634114583333
EPOM-L,block_both,4,1537,2048,48,1.4556477864583333
EPOM-L,block_both,5,2049,2560,48,1.42822265625
EPOM-L,block_both,6,2561,3072,48,1.4185384114583333
EPOM-L,block_both,7,3073,3584,48,1.3927408854166667
EPOM-L,block_both,8,3585,4096,48,1.3798421223958333
EPOM-L,soft,1,1,512,48,2.8922526041666665
EPOM-L,soft,2,513,1024,48,2.5048828125
EPOM-L,soft,3,1025,1536,48,2.4415690104166665
EPOM-L,soft,4,1537,2048,48,2.474609375
EPOM-L,soft,5,2049,2560,48,2.4312744140625
EPOM-L,soft,6,2561,3072,48,2.3393147786458335
EPOM-L,soft,7,3073,3584,48,2.2830810546875
EPOM-L,soft,8,3585,4096,48,2.2480875651041665
CAAR,block_both,1,1,512,48,1.8980712890625
CAAR,block_both,2,513,1024,48,1.6537272135416667
CAAR,block_both,3,1025,1536,48,1.6047770182291667
CAAR,block_both,4,1537,2048,48,1.5508219401041667
CAAR,block_both,5,2049,2560,48,1.5304768880208333
CAAR,block_both,6,2561,3072,48,1.4875895182291667
CAAR,block_both,7,3073,3584,48,1.4933675130208333
CAAR,block_both,8,3585,4096,48,1.4763997395833333
CAAR,soft,1,1,512,48,2.9654541015625
CAAR,soft,2,513,1024,48,2.5436604817708335
CAAR,soft,3,1025,1536,48,2.501953125
CAAR,soft,4,1537,2048,48,2.3701171875
CAAR,soft,5,2049,2560,48,2.3874104817708335
CAAR,soft,6,2561,3072,48,2.3806966145833335
CAAR,soft,7,3073,3584,48,2.3235677083333335
CAAR,soft,8,3585,4096,48,2.26513671875
SRSLM,block_both,1,1,512,48,2.24609375
SRSLM,block_both,2,513,1024,48,1.99755859375
SRSLM,block_both,3,1025,1536,48,1.89794921875
SRSLM,block_both,4,1537,2048,48,1.8013509114583333
SRSLM,block_both,5,2049,2560,48,1.7751871744791667
SRSLM,block_both,6,2561,3072,48,1.7381184895833333
SRSLM,block_both,7,3073,3584,48,1.7646484375
SRSLM,block_both,8,3585,4096,48,1.72900390625
SRSLM,soft,1,1,512,48,3.2528483072916665
SRSLM,soft,2,513,1024,48,2.9175618489583335
SRSLM,soft,3,1025,1536,48,2.74072265625
SRSLM,soft,4,1537,2048,48,2.6571044921875
SRSLM,soft,5,2049,2560,48,2.6153157552083335
SRSLM,soft,6,2561,3072,48,2.5598958333333335
SRSLM,soft,7,3073,3584,48,2.5416259765625
SRSLM,soft,8,3585,4096,48,2.5103759765625
