method,collision_system,map_name,num_agents,seed,episode_step,duration_ns,duration_ms
EPOM-L,block_both,random-s40_d0.15,100,0,17,5688492,5.688492
EPOM-L,block_both,random-s40_d0.15,100,0,18,5693872,5.693872
EPOM-L,block_both,random-s40_d0.15,100,0,19,5624242,5.624242
EPOM-L,block_both,random-s40_d0.15,100,0,20,5664492,5.664492
EPOM-L,block_both,random-s40_d0.15,100,0,21,5695122,5.695122
EPOM-L,block_both,random-s40_d0.15,100,0,22,5695022,5.695022
EPOM-L,block_both,random-s40_d0.15,100,0,23,5642052,5.642052
EPOM-L,block_both,random-s40_d0.15,100,0,24,5675902,5.675902
EPOM-L,block_both,random-s40_d0.15,100,0,25,5665532,5.665532
EPOM-L,block_both,random-s40_d0.15,100,0,26,5685102,5.685102
EPOM-L,block_both,random-s40_d0.15,100,0,27,5764232,5.764232
EPOM-L,block_both,random-s40_d0.15,100,0,28,5669862,5.669862
EPOM-L,block_both,random-s40_d0.15,100,0,29,5701683,5.701683
EPOM-L,block_both,random-s40_d0.15,100,0,30,5669573,5.669573
EPOM-L,block_both,random-s40_d0.15,100,0,31,5807322,5.807322
EPOM-L,block_both,random-s40_d0.15,100,0,32,5835202,5.835202
EPOM-L,block_both,random-s40_d0.15,100,0,33,5907022,5.907022
EPOM-L,block_both,random-s40_d0.15,100,0,34,5957512,5.957512
EPOM-L,block_both,random-s40_d0.15,100,0,35,5835452,5.835452
EPOM-L,block_both,random-s40_d0.15,100,0,36,5898673,5.898673
EPOM-L,block_both,random-s40_d0.15,100,0,37,5809043,5.809043
EPOM-L,block_both,random-s40_d0.15,100,0,38,5937552,5.937552
EPOM-L,block_both,random-s40_d0.15,100,0,39,5899523,5.899523
EPOM-L,block_both,random-s40_d0.15,100,0,40,5884913,5.884913
EPOM-L,block_both,random-s40_d0.15,100,0,41,5886332,5.886332
EPOM-L,block_both,random-s40_d0.15,100,0,42,5880762,5.880762
EPOM-L,block_both,random-s40_d0.15,100,0,43,5785732,5.785732
EPOM-L,block_both,random-s40_d0.15,100,0,44,5791882,5.791882
EPOM-L,block_both,random-s40_d0.15,100,0,45,5795202,5.795202
EPOM-L,block_both,random-s40_d0.15,100,0,46,5850072,5.850072
