method,collision_system,map_name,num_agents,seed,warmup_calls,measured_calls,mean_ms,median_ms,p95_ms
EPOM-L,block_both,random-s40_d0.15,100,0,16,64,5.854056,5.883908,5.992446999999999
EPOM-L,block_both,random-s40_d0.15,300,0,16,64,13.13068234375,13.174685499999999,13.571969000000001
EPOM-L,block_both,random-s40_d0.15,600,0,16,64,24.712676375,24.772145000000002,25.15722435
EPOM-L,soft,random-s40_d0.15,100,0,16,64,5.7969335625,5.8047825,5.98115265
EPOM-L,soft,random-s40_d0.15,300,0,16,64,13.270187046875,13.3557105,13.740532349999999
EPOM-L,soft,random-s40_d0.15,600,0,16,64,25.168449125,25.424355499999997,25.93322535
AORePlan,block_both,random-s40_d0.15,100,0,16,64,19.08694003125,16.364660999999998,34.69082419999997
AORePlan,block_both,random-s40_d0.15,300,0,16,64,92.3551885625,91.985653,118.93192854999997
AORePlan,block_both,random-s40_d0.15,600,0,16,64,206.669061625,208.081415,244.98341654999996
AORePlan,soft,random-s40_d0.15,100,0,16,64,20.516603234375,21.473833499999998,31.142765999999995
AORePlan,soft,random-s40_d0.15,300,0,16,64,91.15491290625,90.455626,115.04389099999999
AORePlan,soft,random-s40_d0.15,600,0,16,64,212.82649540625,209.79024700000002,260.91190204999987
ARPE,block_both,random-s40_d0.15,100,0,16,64,16.592229640625,16.616323,16.76162065
ARPE,block_both,random-s40_d0.15,300,0,16,64,38.457794,38.454252,38.9494885
ARPE,block_both,random-s40_d0.15,600,0,16,64,71.187852921875,71.119463,72.03193535
ARPE,soft,random-s40_d0.15,100,0,16,64,16.683258890624998,16.718378,16.8597045
ARPE,soft,random-s40_d0.15,300,0,16,64,38.707451609375,38.735012,39.302997
ARPE,soft,random-s40_d0.15,600,0,16,64,71.851693875,71.7047,72.98838985
CHS,block_both,random-s40_d0.15,100,0,16,64,28.3389651875,21.621609,60.264664199999956
CHS,block_both,random-s40_d0.15,300,0,16,64,44.416245640625,36.024477000000005,82.08150649999997
CHS,block_both,random-s40_d0.15,600,0,16,64,55.036843265625,50.2543755,87.27938219999997
CHS,soft,random-s40_d0.15,100,0,16,64,30.18430465625,24.745395000000002,71.07969585
CHS,soft,random-s40_d0.15,300,0,16,64,50.45500040625,41.0601335,104.34686619999995
CHS,soft,random-s40_d0.15,600,0,16,64,64.510888328125,53.8264505,116.75867384999998
PRIMAL2,block_both,random-s40_d0.15,100,0,16,64,80.216697609375,73.474215,94.596743
PRIMAL2,block_both,random-s40_d0.15,300,0,16,64,236.342619796875,240.52206,261.5164355
PRIMAL2,block_both,random-s40_d0.15,600,0,16,64,474.1401126875,477.0361615,502.22736384999996
PRIMAL2,soft,random-s40_d0.15,100,0,16,64,80.237922765625,72.64010300000001,96.78925699999999
PRIMAL2,soft,random-s40_d0.15,300,0,16,64,240.27713075,240.54200300000002,279.27545734999995
PRIMAL2,soft,random-s40_d0.15,600,0,16,64,483.488538296875,482.894053,534.4458781999999
SRSLM,block_both,random-s40_d0.15,100,0,16,64,43.66096753125,41.312133,53.3574765
SRSLM,block_both,random-s40_d0.15,300,0,16,64,159.50349021875,154.24523,193.61785249999997
SRSLM,block_both,random-s40_d0.15,600,0,16,64,325.821583,320.6552725,370.59944184999995
SRSLM,soft,random-s40_d0.15,100,0,16,64,46.340315640625,44.612969,53.05687249999999
SRSLM,soft,random-s40_d0.15,300,0,16,64,158.118023390625,159.192558,181.94003284999997
SRSLM,soft,random-s40_d0.15,600,0,16,64,330.410135640625,328.012568,378.0298126999999
PIBT,block_both,random-s40_d0.15,100,0,16,64,12.77716434375,12.2827925,26.81401534999999
PIBT,block_both,random-s40_d0.15,300,0,16,64,26.25735740625,25.13495,45.30793849999999
PIBT,block_both,random-s40_d0.15,600,0,16,64,32.815843359375,31.554167,67.91292049999998
PIBT,soft,random-s40_d0.15,100,0,16,64,14.435393,12.7270325,36.56494214999999
PIBT,soft,random-s40_d0.15,300,0,16,64,34.217336796875,32.565927,58.57317849999998
PIBT,soft,random-s40_d0.15,600,0,16,64,58.414931125,58.562342,103.08309284999999
DCC-L,block_both,random-s40_d0.15,100,0,16,64,41.5884846875,43.212888500000005,80.70162735000001
DCC-L,block_both,random-s40_d0.15,300,0,16,64,81.503171765625,81.448117,115.8589690499999
DCC-L,block_both,random-s40_d0.15,600,0,16,64,136.2172945,129.267751,161.249106
DCC-L,soft,random-s40_d0.15,100,0,16,64,57.256981578125,60.992378,98.010201
DCC-L,soft,random-s40_d0.15,300,0,16,64,123.01481334374999,118.624855,174.1522725
DCC-L,soft,random-s40_d0.15,600,0,16,64,173.950806578125,165.9695345,216.362035
