method,display_method,collision_system,num_agents,map_name,seed,calls,policy_seconds,ms_per_joint_action,normalized_ms_per_agent
EPOM-L,EPOM-L,block_both,100,random-s40_d0.15,0,16,3.51473094150424,219.670683844015,2.19670683844015
EPOM-L,EPOM-L,block_both,300,random-s40_d0.15,0,16,10.790919043123722,674.4324401952326,2.248108133984109
EPOM-L,EPOM-L,block_both,600,random-s40_d0.15,0,16,22.092968879267573,1380.8105549542233,2.3013509249237054
EPOM-L,EPOM-L,soft,100,random-s40_d0.15,0,16,3.496065318584442,218.50408241152763,2.1850408241152763
EPOM-L,EPOM-L,soft,300,random-s40_d0.15,0,16,10.769816178828478,673.1135111767799,2.2437117039225996
EPOM-L,EPOM-L,soft,600,random-s40_d0.15,0,16,21.886721711605787,1367.9201069753617,2.2798668449589363
AORePlan,AORePlan,block_both,100,random-s40_d0.15,0,16,0.42747804895043373,26.717378059402108,0.2671737805940211
AORePlan,AORePlan,block_both,300,random-s40_d0.15,0,16,1.5291249062865973,95.57030664291233,0.31856768880970776
AORePlan,AORePlan,block_both,600,random-s40_d0.15,0,16,3.6062725596129894,225.39203497581184,0.3756533916263531
AORePlan,AORePlan,soft,100,random-s40_d0.15,0,16,0.4162639584392309,26.016497402451932,0.2601649740245193
AORePlan,AORePlan,soft,300,random-s40_d0.15,0,16,1.509757487103343,94.35984294395894,0.3145328098131965
AORePlan,AORePlan,soft,600,random-s40_d0.15,0,16,3.8102026768028736,238.1376673001796,0.396896112166966
CAAR,ARPE,block_both,100,random-s40_d0.15,0,16,3.9199534971266985,244.99709357041866,2.4499709357041866
CAAR,ARPE,block_both,300,random-s40_d0.15,0,16,11.972412625327706,748.2757890829816,2.4942526302766055
CAAR,ARPE,block_both,600,random-s40_d0.15,0,16,24.283490190282464,1517.718136892654,2.529530228154423
CAAR,ARPE,soft,100,random-s40_d0.15,0,16,3.870076859369874,241.87980371061713,2.4187980371061713
CAAR,ARPE,soft,300,random-s40_d0.15,0,16,11.820883110165596,738.8051943853498,2.462683981284499
CAAR,ARPE,soft,600,random-s40_d0.15,0,16,24.272985002025962,1517.0615626266226,2.5284359377110377
CHS,CHS,block_both,100,random-s40_d0.15,0,16,4.816745691001415,301.04660568758845,3.0104660568758845
CHS,CHS,block_both,300,random-s40_d0.15,0,16,12.050386069342494,753.1491293339059,2.510497097779686
CHS,CHS,block_both,600,random-s40_d0.15,0,16,22.30334306322038,1393.9589414512739,2.32326490241879
CHS,CHS,soft,100,random-s40_d0.15,0,16,4.843546589836478,302.7216618647799,3.027216618647799
CHS,CHS,soft,300,random-s40_d0.15,0,16,11.830031428486109,739.3769642803818,2.464589880934606
CHS,CHS,soft,600,random-s40_d0.15,0,16,22.553354058414698,1409.5846286509186,2.3493077144181975
PRIMAL2,PRIMAL2,block_both,100,random-s40_d0.15,0,16,6.0445175264030695,377.78234540019184,3.7778234540019184
PRIMAL2,PRIMAL2,block_both,300,random-s40_d0.15,0,16,18.08605165593326,1130.3782284958288,3.7679274283194295
PRIMAL2,PRIMAL2,block_both,600,random-s40_d0.15,0,16,36.085933435708284,2255.370839731768,3.7589513995529464
PRIMAL2,PRIMAL2,soft,100,random-s40_d0.15,0,16,6.092223834246397,380.7639896403998,3.807639896403998
PRIMAL2,PRIMAL2,soft,300,random-s40_d0.15,0,16,18.177333883941174,1136.0833677463233,3.7869445591544113
PRIMAL2,PRIMAL2,soft,600,random-s40_d0.15,0,16,36.2060400377959,2262.877502362244,3.771462503937073
SRSLM,SRSLM,block_both,100,random-s40_d0.15,0,16,4.4064036682248116,275.4002292640507,2.754002292640507
SRSLM,SRSLM,block_both,300,random-s40_d0.15,0,16,13.829317959025502,864.3323724390939,2.881107908130313
SRSLM,SRSLM,block_both,600,random-s40_d0.15,0,16,27.9924203902483,1749.5262743905187,2.9158771239841976
SRSLM,SRSLM,soft,100,random-s40_d0.15,0,16,4.419261215254664,276.2038259534165,2.7620382595341653
SRSLM,SRSLM,soft,300,random-s40_d0.15,0,16,13.894238326698542,868.3898954186589,2.894632984728863
SRSLM,SRSLM,soft,600,random-s40_d0.15,0,16,28.38627321831882,1774.1420761449262,2.9569034602415436
PIBT,PIBT,block_both,100,random-s40_d0.15,0,16,0.6871801596134901,42.94875997584313,0.4294875997584313
PIBT,PIBT,block_both,300,random-s40_d0.15,0,16,1.967283844947815,122.95524030923843,0.4098508010307948
PIBT,PIBT,block_both,600,random-s40_d0.15,0,16,3.9341386891901493,245.88366807438433,0.4098061134573072
PIBT,PIBT,soft,100,random-s40_d0.15,0,16,0.7088957708328962,44.305985677056015,0.44305985677056015
PIBT,PIBT,soft,300,random-s40_d0.15,0,16,2.0043558813631535,125.27224258519709,0.41757414195065695
PIBT,PIBT,soft,600,random-s40_d0.15,0,16,3.9891905412077904,249.3244088254869,0.4155406813758115
DCC-L,DCC-L,block_both,100,random-s40_d0.15,0,16,3.9174864254891872,244.8429015930742,2.448429015930742
DCC-L,DCC-L,block_both,300,random-s40_d0.15,0,16,16.210762608796358,1013.1726630497724,3.377242210165908
DCC-L,DCC-L,block_both,600,random-s40_d0.15,0,16,45.85749692283571,2866.0935576772317,4.77682259612872
DCC-L,DCC-L,soft,100,random-s40_d0.15,0,16,3.852204380556941,240.76277378480881,2.407627737848088
DCC-L,DCC-L,soft,300,random-s40_d0.15,0,16,15.714696492999792,982.168530812487,3.27389510270829
DCC-L,DCC-L,soft,600,random-s40_d0.15,0,16,45.87559060752392,2867.224412970245,4.778707354950408
