method,collision_system,num_agents,episodes,ISR,CSR
RePlan,block_both,100,8,1.0,1.0
RePlan,block_both,300,8,1.0,1.0
RePlan,block_both,600,8,0.8983333333333334,0.25
RePlan,soft,100,8,1.0,1.0
RePlan,soft,300,8,1.0,1.0
RePlan,soft,600,8,0.9397916666666667,0.5
AORePlan,block_both,100,8,0.9650000000000001,0.125
AORePlan,block_both,300,8,0.99,0.125
AORePlan,block_both,600,8,0.8739583333333334,0.0
AORePlan,soft,100,8,0.9924999999999999,0.625
AORePlan,soft,300,8,0.9974999999999999,0.75
AORePlan,soft,600,8,0.9718749999999999,0.25
ARPE,block_both,100,8,0.9925000000000002,0.625
ARPE,block_both,300,8,0.99375,0.125
ARPE,block_both,600,8,0.9370833333333334,0.25
ARPE,soft,100,8,0.9950000000000001,0.625
ARPE,soft,300,8,0.9983333333333333,0.75
ARPE,soft,600,8,0.9952083333333333,0.25
SRSLM,block_both,100,8,0.9975,0.75
SRSLM,block_both,300,8,0.9966666666666666,0.625
SRSLM,block_both,600,8,0.9960416666666667,0.375
SRSLM,soft,100,8,0.9962500000000001,0.75
SRSLM,soft,300,8,0.9979166666666667,0.625
SRSLM,soft,600,8,0.9958333333333333,0.5
PIBT,block_both,100,8,0.98875,0.875
PIBT,block_both,300,8,0.9116666666666666,0.375
PIBT,block_both,600,8,0.6822916666666667,0.125
PIBT,soft,100,8,1.0,1.0
PIBT,soft,300,8,0.9991666666666666,0.875
PIBT,soft,600,8,0.9983333333333333,0.75
