method,collision_system,map_name,num_agents,seed,on_target,max_steps,obs_radius,episode_steps,completed_agents,ISR,CSR
AORePlan,block_both,mazes-s40_wc4_od30,100,0,finish,512,5,512,98,0.98,0.0
AORePlan,block_both,mazes-s40_wc4_od30,100,42,finish,512,5,512,96,0.96,0.0
AORePlan,block_both,mazes-s40_wc4_od30,300,0,finish,512,5,512,298,0.9933333333333333,0.0
AORePlan,block_both,mazes-s40_wc4_od30,300,42,finish,512,5,512,296,0.9866666666666667,0.0
AORePlan,block_both,mazes-s40_wc4_od30,600,0,finish,512,5,512,392,0.6533333333333333,0.0
AORePlan,block_both,mazes-s40_wc4_od30,600,42,finish,512,5,512,441,0.735,0.0
AORePlan,block_both,random-s40_d0.15,100,0,finish,512,5,512,93,0.93,0.0
AORePlan,block_both,random-s40_d0.15,100,42,finish,512,5,512,95,0.95,0.0
AORePlan,block_both,random-s40_d0.15,300,0,finish,512,5,512,296,0.9866666666666667,0.0
AORePlan,block_both,random-s40_d0.15,300,42,finish,512,5,512,297,0.99,0.0
AORePlan,block_both,random-s40_d0.15,600,0,finish,512,5,512,595,0.9916666666666667,0.0
AORePlan,block_both,random-s40_d0.15,600,42,finish,512,5,512,598,0.9966666666666667,0.0
AORePlan,block_both,sc1-TheFrozenSea,100,0,finish,512,5,512,95,0.95,0.0
AORePlan,block_both,sc1-TheFrozenSea,100,42,finish,512,5,512,97,0.97,0.0
AORePlan,block_both,sc1-TheFrozenSea,300,0,finish,512,5,512,296,0.9866666666666667,0.0
AORePlan,block_both,sc1-TheFrozenSea,300,42,finish,512,5,353,300,1.0,1.0
AORePlan,block_both,sc1-TheFrozenSea,600,0,finish,512,5,512,521,0.8683333333333333,0.0
AORePlan,block_both,sc1-TheFrozenSea,600,42,finish,512,5,512,497,0.8283333333333334,0.0
AORePlan,block_both,street-Shanghai_0,100,0,finish,512,5,512,98,0.98,0.0
AORePlan,block_both,street-Shanghai_0,100,42,finish,512,5,231,100,1.0,1.0
AORePlan,block_both,street-Shanghai_0,300,0,finish,512,5,512,295,0.9833333333333333,0.0
AORePlan,block_both,street-Shanghai_0,300,42,finish,512,5,512,298,0.9933333333333333,0.0
AORePlan,block_both,street-Shanghai_0,600,0,finish,512,5,512,570,0.95,0.0
AORePlan,block_both,street-Shanghai_0,600,42,finish,512,5,512,581,0.9683333333333334,0.0
AORePlan,soft,mazes-s40_wc4_od30,100,0,finish,512,5,174,100,1.0,1.0
