method,collision_system,episodes,ISR,CSR
RePlan,block_both,24,0.9661111111111111,0.75
RePlan,soft,24,0.9799305555555554,0.8333333333333334
AORePlan,block_both,24,0.9429861111111112,0.08333333333333333
AORePlan,soft,24,0.9872916666666668,0.5416666666666666
ARPE,block_both,24,0.9744444444444444,0.3333333333333333
ARPE,soft,24,0.9961805555555553,0.5416666666666666
SRSLM,block_both,24,0.9967361111111112,0.5833333333333334
SRSLM,soft,24,0.9966666666666665,0.625
PIBT,block_both,24,0.8609027777777776,0.4583333333333333
PIBT,soft,24,0.9991666666666666,0.875
